Date/Time,Signal
2018-12-20,1
2019-03-04,0
2019-03-29,1
2019-06-04,0
2019-06-15,1
2019-07-14,0
2019-08-07,1
2019-09-23,0
2019-10-26,1
2019-11-22,0
2020-01-14,1
2020-02-26,0
2020-04-23,1
2020-09-03,0
2020-10-20,1
2020-11-26,0
2020-11-30,1
2021-01-12,0
2021-02-05,1
2021-02-26,0
2021-03-11,1
2021-04-21,0
2021-07-25,1
2021-09-10,0
2021-10-04,1
2021-11-18,0
2022-02-04,1
2022-03-07,0
2022-03-25,1
2022-04-26,0
2022-07-18,1
2022-08-19,0
2022-10-26,1
2022-11-08,0
2023-01-12,1
2023-03-03,0
2023-03-13,1
2023-05-11,0
2023-06-21,1
2023-08-18,0
2023-10-19,1
2024-01-12,0
2024-02-08,1
2024-03-19,0
2024-05-15,1